name,lat,lon,address,street,housenumber,city,state,postcode,start_date,opening_date,osm_first_seen,osm_type,osm_id,resident_pop,workers_in_tract,workers_from_tract,daytime_pop
In-N-Out Burger,35.3545142,-119.057977,,Stockdale Highway,5100,Bakersfield,CA,93309,2000-10-02,,2010-05-20,way,59733392,5657,1986,1995,5648
In-N-Out Burger,35.2963165,-119.0285818,,Panama Lane,2310,Bakersfield,CA,93307,1991-04-24,,2010-05-21,way,59811261,3520,813,1208,3125
In-N-Out Burger,33.6436988,-117.922972,,West 19th Street,594,Costa Mesa,CA,92627,1985-09-23,,2010-07-11,way,67256641,6159,3415,2495,7079
In-N-Out Burger,37.60081,-122.3824406,,Rollins Road,11,Millbrae,CA,94030,2005-03-31,,2010-09-14,way,77468135,5520,2552,2252,5820
In-N-Out Burger,33.2377705,-117.299342,,Frazee Road,4605,Oceanside,CA,92057,2002-04-04,,2010-09-15,way,77687340,4375,925,1347,3953
In-N-Out Burger,33.1845491,-117.2849666,,Hacienda Drive,2010,Vista,CA,92081,1990-08-30,,2010-09-25,way,79162541,4134,1092,1660,3566
In-N-Out Burger,33.5149985,-117.1589537,,Jefferson Avenue,27700,Temecula,CA,92590,1990-09-19,,2010-11-13,way,85103418,5347,23436,2023,26760
In-N-Out Burger,38.0893983,-122.5547212,,Vintage Way,216,Novato,CA,94945,2013-11-14,,2010-12-20,way,90671576,2787,2483,1403,3867
In-N-Out Burger,33.9903282,-117.915377,,Colima Road,17849,City of Industry,CA,91748,1991-06-18,,2011-02-16,way,100004771,629,44697,479,44847
In-N-Out Burger,33.5649572,-117.7073872,,La Paz Road,27380,Laguna Niguel,CA,92677,1994-01-03,,2011-03-08,way,103306812,5302,715,1977,4040
In-N-Out Burger,38.2345829,-122.6208645,,Lakeville Highway,1010,Petaluma,CA,94952,,,2011-03-31,way,106610109,5021,5272,1982,8311
In-N-Out Burger,33.4758842,-117.1236684,,Temecula Parkway,30697,Temecula,CA,92592,2005-12-30,,2011-04-06,way,107476640,4549,4733,1794,7488
In-N-Out Burger,33.6811287,-117.1751095,,Haun Road,30296,Menifee,CA,92584,2008-10-28,,2011-04-30,way,111058295,6097,2378,2314,6161
In-N-Out Burger,37.4262921,-121.9224308,,Ranch Drive,50,Milpitas,CA,95035,1996-09-05,,2011-06-13,way,117455290,2325,44367,826,45866
In-N-Out Burger,34.4428948,-119.7907331,,Calle Real,4865,Goleta,CA,93111,1995-11-14,,2011-07-07,way,120618912,6098,3128,2166,7060
In-N-Out Burger,38.5915571,-121.5502019,,Ikea Court,780,West Sacramento,CA,95605,2008-12-05,,2011-07-07,way,120652182,1931,5397,735,6593
In-N-Out Burger,37.68821,-122.4720315,,Washington Street,260,Daly City,CA,94015,,,2011-07-20,way,122395696,6774,2248,2960,6062
In-N-Out Burger,34.4270992,-117.3781878,,Main Street,13074,Hesperia,CA,92345,1983-06-24,,2011-08-07,way,124953401,7460,980,2216,6224
In-N-Out Burger,33.924392,-117.92374,,East Lambert Road,2030,La Habra,CA,90631,1985-05-14,,2011-08-09,way,125249304,3846,6950,2235,8561
In-N-Out Burger,38.7582613,-121.2595541,,Taylor Road,1803,Roseville,CA,95678,,,2011-11-24,way,138216856,5337,21111,2199,24249
In-N-Out Burger,33.6133618,-117.7086348,,Avenida de la Carlota,24001,Laguna Hills,CA,92653,,,2011-11-26,way,138512301,4866,4303,1620,7549
In-N-Out Burger,33.6949883,-117.8270941,,Park Avenue,2895,Tustin,CA,92782,,,2011-12-29,way,143166125,10073,4934,3650,11357
In-N-Out Burger,38.9013432,-121.0748001,,Grass Valley Highway,130,Auburn,CA,95603,1995-11-30,,2012-01-02,way,143790704,4382,2810,2071,5121
In-N-Out Burger,37.5042186,-121.9740302,,Pacific Commons Boulevard,43349,Fremont,CA,94538,2005-08-17,,2012-03-01,way,152605746,7662,51144,3994,54812
In-N-Out Burger,38.6467295,-121.1143975,,Placerville Road,225,Folsom,CA,95630,2009-01-29,,2012-05-04,way,162050125,3793,4901,1792,6902
In-N-Out Burger,35.1272716,-120.5979057,,West Branch Street,1170,Arroyo Grande,CA,93420,2010-11-16,,2012-05-06,way,162500972,7805,2745,2921,7629
