name,lat,lon,address,street,housenumber,city,state,postcode,start_date,opening_date,osm_first_seen,osm_type,osm_id,median_income
In-N-Out Burger,33.1845491,-117.2849666,,Hacienda Drive,2010,Vista,CA,92081,1990-08-30,,2010-09-25,way,79162541,71630
In-N-Out Burger,33.5149985,-117.1589537,,Jefferson Avenue,27700,Temecula,CA,92590,1990-09-19,,2010-11-13,way,85103418,72753
In-N-Out Burger,38.0893983,-122.5547212,,Vintage Way,216,Novato,CA,94945,2013-11-14,,2010-12-20,way,90671576,153500
In-N-Out Burger,33.9903282,-117.915377,,Colima Road,17849,City of Industry,CA,91748,1991-06-18,,2011-02-16,way,100004771,66375
In-N-Out Burger,33.5649572,-117.7073872,,La Paz Road,27380,Laguna Niguel,CA,92677,1994-01-03,,2011-03-08,way,103306812,83566
In-N-Out Burger,38.2345829,-122.6208645,,Lakeville Highway,1010,Petaluma,CA,94952,,,2011-03-31,way,106610109,107610
In-N-Out Burger,33.4758842,-117.1236684,,Temecula Parkway,30697,Temecula,CA,92592,2005-12-30,,2011-04-06,way,107476640,104500
In-N-Out Burger,33.6811287,-117.1751095,,Haun Road,30296,Menifee,CA,92584,2008-10-28,,2011-04-30,way,111058295,100479
In-N-Out Burger,37.4262921,-121.9224308,,Ranch Drive,50,Milpitas,CA,95035,1996-09-05,,2011-06-13,way,117455290,107438
In-N-Out Burger,34.4428948,-119.7907331,,Calle Real,4865,Goleta,CA,93111,1995-11-14,,2011-07-07,way,120618912,83219
In-N-Out Burger,38.5915571,-121.5502019,,Ikea Court,780,West Sacramento,CA,95605,2008-12-05,,2011-07-07,way,120652182,80157
In-N-Out Burger,37.68821,-122.4720315,,Washington Street,260,Daly City,CA,94015,,,2011-07-20,way,122395696,133873
In-N-Out Burger,34.4270992,-117.3781878,,Main Street,13074,Hesperia,CA,92345,1983-06-24,,2011-08-07,way,124953401,65829
In-N-Out Burger,33.924392,-117.92374,,East Lambert Road,2030,La Habra,CA,90631,1985-05-14,,2011-08-09,way,125249304,77829
In-N-Out Burger,38.7582613,-121.2595541,,Taylor Road,1803,Roseville,CA,95678,,,2011-11-24,way,138216856,150000
In-N-Out Burger,33.6133618,-117.7086348,,Avenida de la Carlota,24001,Laguna Hills,CA,92653,,,2011-11-26,way,138512301,75519
In-N-Out Burger,33.6949883,-117.8270941,,Park Avenue,2895,Tustin,CA,92782,,,2011-12-29,way,143166125,129311
In-N-Out Burger,38.9013432,-121.0748001,,Grass Valley Highway,130,Auburn,CA,95603,1995-11-30,,2012-01-02,way,143790704,49358
In-N-Out Burger,37.5042186,-121.9740302,,Pacific Commons Boulevard,43349,Fremont,CA,94538,2005-08-17,,2012-03-01,way,152605746,221094
In-N-Out Burger,38.6467295,-121.1143975,,Placerville Road,225,Folsom,CA,95630,2009-01-29,,2012-05-04,way,162050125,127841
In-N-Out Burger,35.1272716,-120.5979057,,West Branch Street,1170,Arroyo Grande,CA,93420,2010-11-16,,2012-05-06,way,162500972,116607
In-N-Out Burger,37.3502945,-121.921861,,Newhall Drive,550,San Jose,CA,95110,2010-01-14,,2012-05-17,way,163917089,103378
In-N-Out Burger,35.496978,-120.6843963,,San Anselmo Road,6000,Atascadero,CA,93422,https://locations.in-n-out.com/98,,2012-06-02,way,165800311,124688
In-N-Out Burger,33.8319575,-117.835679,,North Tustin Street,2585,Orange,CA,92865,,,2012-07-10,way,170973961,156250
In-N-Out Burger,34.1167764,-117.8294315,,South Lone Hill,1261,Glendora,CA,91740,2003,,2012-07-14,way,171534927,86100
In-N-Out Burger,33.650158,-117.8406162,,Campus Drive,4115,Irvine,CA,92612,1991-07-25,,2012-07-14,way,171550869,43291
In-N-Out Burger,34.849969,-117.08241,,Lenwood Road,2821,Barstow,CA,92311,1989-11-14,,2012-08-10,way,175482039,86023
In-N-Out Burger,33.7881165,-117.8164663,,East Chapman Avenue,3501,Orange,CA,92869,1990-03-09,,2012-08-16,way,176350146,84881
