source_ino_city,source_ino_lat,source_ino_lon,source_ino_date,name,lat,lon,city,street,housenumber,postcode,competitor_created,distance_km
Folsom,38.6467295,-121.1143975,2009-01-29,Subway,38.2268068,-121.4285719,Thornton,West Walnut Grove Road,9015,95686,2009-07-20,54.121
Folsom,38.6467295,-121.1143975,2009-01-29,Carl's Jr.,38.5620784,-121.7315656,,,,,2009-06-25,54.449
Gilroy,37.0237981,-121.564204,2009-04-28,McDonald's,37.0236362,-121.5624438,Gilroy,Arroyo Circle,8390,95020,2009-10-07,0.157
Gilroy,37.0237981,-121.564204,2009-04-28,Wendy's,36.9297252,-121.767228,Watsonville,Freedom Boulevard,1480,95076,2009-08-26,20.849
Gilroy,37.0237981,-121.564204,2009-04-28,Burger King,36.9267895,-121.7653324,Watsonville,Freedom Boulevard,1403,95076-2742,2009-11-08,20.871
Gilroy,37.0237981,-121.564204,2009-04-28,Little Caesars,36.9313445,-121.7687795,,,,,2009-08-26,20.879
Gilroy,37.0237981,-121.564204,2009-04-28,Unknown,36.9285739,-121.7670546,,,,,2009-11-08,20.9
Victorville,34.521129,-117.3220185,2009-09-24,Wendy's,34.1357014,-117.5381783,Rancho Cucamonga,Highland Avenue,12240,91739,2009-10-04,47.231
Victorville,34.521129,-117.3220185,2009-09-24,Domino's,34.1389927,-117.576826,Alta Loma,Lemon Street,10431,91737,2009-12-10,48.508
Victorville,34.521129,-117.3220185,2009-09-24,Burger King,34.1229636,-117.5755293,Alta Loma,Haven Avenue,7235,91701,2009-10-03,50.022
Victorville,34.521129,-117.3220185,2009-09-24,Del Taco,34.1225864,-117.593015,Rancho Cucamonga,Archibald Avenue,7247,91701,2009-12-12,50.826
Victorville,34.521129,-117.3220185,2009-09-24,McDonald's,34.106925,-117.5593702,Rancho Cucamonga,Foothill Boulevard,11198,91730,2010-06-17,50.956
Roseville,38.7896493,-121.2831678,2009-12-10,Chipotle,38.789529,-121.280838,Roseville,Pleasant Grove Boulevard,781,95678,2010-02-24,0.202
Roseville,38.7896493,-121.2831678,2009-12-10,Chick-fil-A,38.7850827,-121.2860459,Roseville,Pleasant Grove Boulevard,912,95678,2010-01-04,0.566
Roseville,38.7896493,-121.2831678,2009-12-10,Wendy's,38.7844009,-121.2879657,Roseville,Pleasant Grove Boulevard,924,95678,2010-01-04,0.717
Roseville,38.7896493,-121.2831678,2009-12-10,Wayback Burgers,38.7839595,-121.2707494,Roseville,Fairway Drive,9250,95678,2009-12-10,1.249
Roseville,38.7896493,-121.2831678,2009-12-10,Carl's Jr.,38.7809649,-121.2651381,Rocklin,Stanford Ranch Road,6741,95677,2009-12-29,1.837
San Jose,37.3502945,-121.921861,2010-01-14,Subway,37.3363857,-121.8770879,San Jose,East San Carlos Street,475,95112,2010-07-19,4.249
San Jose,37.3502945,-121.921861,2010-01-14,Unknown,37.382836,-121.9500852,,,,,2010-03-17,4.395
