site_type,lat,lon,city,predicted_score,dist_to_nearest_prior_km,nearest_competitor_km,avg_nearest_5_competitors_km,median_income,resident_pop,workers_in_tract,workers_from_tract,daytime_pop,hwy_aadt,dist_to_highway_meters,dist_to_nearest_dc_miles,dist_to_freeway_ramp_meters,trade_area_population
Real In-N-Out,34.025802,-117.7494664,Pomona,0.561,6.416,1.109,3.038,83279,7280,1161,2675,5766,94000.0,213.9421258249876,12.750320725432498,138.89052944013088,6796
Real In-N-Out,34.0692616,-117.6114649,Ontario,0.5078,4.109,1.02,2.397,67550,5237,561,1889,3909,217000.0,173.99187169564186,20.015576521863284,83.72489382579779,5490
Real In-N-Out,34.2500159,-118.5019562,Northridge,0.5104,5.463,1.535,2.429,119311,4746,4075,2525,6296,232000.0,3050.704430982989,32.96117557018714,3018.873634213554,4957
Real In-N-Out,33.924392,-117.92374,La Habra,0.513,6.965,1.049,1.207,77829,3846,6950,2235,8561,48200.0,1393.636943254192,11.22464009124929,4560.114970401309,3437
Real In-N-Out,33.7586954,-118.0195892,Westminster,0.5368,4.477,0.669,2.969,130722,2971,819,1689,2101,169200.0,255.9253813768636,22.710184410070458,96.8057884745845,2882
Real In-N-Out,33.6436988,-117.922972,Costa Mesa,0.5154,12.634,1.454,2.624,90938,6159,3415,2495,7079,94000.0,569.2746996933496,30.478774727355617,1590.0884707976606,6133
Real In-N-Out,33.9670674,-117.4659058,Riverside,0.4651,12.33,1.416,2.378,93553,2829,1999,1649,3179,162000.0,6610.911435016814,29.45910308870057,6515.203537623664,3055
Real In-N-Out,33.8610094,-118.1246668,Lakewwod,0.4819,5.939,0.126,0.559,124321,4871,667,2095,3443,269000.0,2029.2842490462297,18.02428688609201,1979.414232802997,4523
Real In-N-Out,34.2172694,-119.0530116,Camarillo,0.5715,45.015,0.786,1.242,93587,5588,9893,2150,13331,134000.0,281.99221309896427,63.07136734940885,59.33140373966533,5403
Real In-N-Out,33.8472944,-118.028126,Buena Park,0.4768,6.898,1.243,1.62,117241,7229,817,3249,4797,186600.0,1251.2480504220453,16.789344911439493,1155.3743272318611,7182
Real In-N-Out,34.7044857,-118.1670082,Lancaster,0.5419,52.333,0.141,0.741,49345,3086,1981,1416,3651,48000.0,329.32555694038945,44.420235863136675,279.1021944026239,3033
Real In-N-Out,33.9421083,-117.2601353,Moreno Valley,0.5133,13.829,0.249,0.873,49167,4931,588,2083,3436,156000.0,238.97173647027583,41.291060424899435,120.84826474666797,4778
Real In-N-Out,34.1072482,-117.6862484,Upland,0.5116,4.479,1.345,1.574,86780,3832,3212,1699,5345,160000.0,2227.425956775138,15.791144046773113,2106.0930080282214,3862
Real In-N-Out,33.9357751,-117.4039685,Riverside,0.5541,6.689,1.938,2.125,70278,3031,2938,1298,4671,207000.0,106.838194749903,33.48369131492506,29.197199649775047,2679
Real In-N-Out,33.9396311,-118.0468462,Santa Fe Springs,0.537,5.381,0.24,2.282,63542,7512,28231,3118,32625,45500.0,3521.3353415207653,11.113084398758684,4624.198944705438,7427
Real In-N-Out,34.0005364,-118.0830682,Pico Rivera,0.4689,7.551,0.138,1.861,50469,5837,1018,2318,4537,33000.0,1719.6462851277263,9.05446844053682,1628.9006327757509,5625
Real In-N-Out,34.0005364,-118.0830682,Pico Rivera,0.4689,7.551,0.138,1.861,50469,5837,1018,2318,4537,33000.0,1719.6462851277263,9.05446844053682,1628.9006327757509,5625
Real In-N-Out,33.8156649,-116.4013864,Thousand Palms,0.561,80.513,0.18,7.973,69784,7149,3698,2591,8256,119000.0,289.9101596238261,91.22677514086132,206.77756843348163,7432
Real In-N-Out,33.7142574,-116.2331067,Indio,0.4689,19.213,0.119,1.121,47951,6097,736,2295,4538,83500.0,3356.782451728557,102.2600941630874,3276.2309079610222,6676
Real In-N-Out,33.7469537,-117.001705,Hemet,0.4556,32.257,0.388,4.641,41131,3703,3079,1706,5076,22700.0,1404.0616044623737,59.688707470381694,20365.228973789173,3873
Real In-N-Out,34.3771286,-118.5654074,Newhall,0.5704,15.098,0.325,1.532,131750,6315,3362,3556,6121,192000.0,212.14410091424648,40.000655473489985,25.430444985784185,6464
Real In-N-Out,33.6635627,-117.2985219,Lake Elsinore,0.5368,28.98,0.301,0.604,94083,3812,1063,1941,2934,124000.0,166.97404854026465,47.80107544750847,112.3523642363455,3380
Real In-N-Out,34.0264562,-118.3942837,Los Angeles,0.527,16.828,0.104,0.523,82361,2024,1100,1186,1938,255000.0,609.183982411445,25.101898948410284,314.3053078289448,1935
Real In-N-Out,34.849969,-117.08241,Barstow,0.5786,54.251,0.105,26.161,86023,3828,1427,1888,3367,68000.0,555.0653222592449,72.78878106782882,343.1467039965726,3921
Real In-N-Out,32.7442148,-117.0432481,Lemon Grove,0.5715,104.949,0.442,0.628,37722,4439,3806,1749,6496,147500.0,73.92336646122956,106.55816960744944,63.71552535180715,4379
Real In-N-Out,33.7881165,-117.8164663,Orange,0.4924,7.435,4.844,4.962,84881,3254,1160,1728,2686,248500.0,1606.571060780224,22.04331213037577,1453.8824161305924,3214
Real In-N-Out,33.1845491,-117.2849666,Vista,0.5032,53.279,0.537,1.942,71630,4134,1092,1660,3566,125000.0,745.4327362146543,73.25973483472475,428.25770822065385,4005
Real In-N-Out,33.5149985,-117.1589537,Temecula,0.5421,20.977,0.847,1.173,72753,5347,23436,2023,26760,198000.0,1094.4489045002356,60.506761151070265,711.8600272107028,5313
Real In-N-Out,33.7228286,-117.7936564,Tustin,0.5599,7.56,1.898,2.241,127902,7717,3882,3798,7801,351700.0,446.29062279931907,26.717515802351112,253.29301733626227,7793
Real In-N-Out,34.0714203,-117.8819029,West Covina,0.5644,3.811,0.4,0.908,97324,6435,2973,2485,6923,218000.0,86.14467802836606,4.6060915449488045,50.54158325965904,6131
Real In-N-Out,35.2963165,-119.0285818,Bakersfield,0.5133,102.417,0.982,2.102,57475,3520,813,1208,3125,97000.0,209.9094480778272,103.34170018941708,79.84197017957509,3192
Real In-N-Out,33.9903282,-117.915377,City of Industry,0.5376,6.235,4.861,8.378,66375,629,44697,479,44847,219000.0,1213.5047166919076,6.974506371563321,923.5038917732144,632
Real In-N-Out,33.650158,-117.8406162,Irvine,0.5147,7.657,0.094,2.351,43291,2695,1258,939,3014,39100.0,2565.310754792593,30.739511839133883,2208.6989059946195,2633
Real In-N-Out,32.9176405,-117.1219195,San Diego,0.5032,20.637,0.139,6.5,137670,3065,870,1708,2227,255000.0,627.4493074230061,93.9096230179289,399.82713074854087,3025
Real In-N-Out,32.8089416,-117.2188786,San Diego,0.5336,15.103,0.231,2.385,85084,6096,1761,2357,5500,195000.0,399.24373589857015,97.86847675553987,136.38238762596947,5792
Real In-N-Out,32.6596905,-117.1066457,National City,0.5315,11.114,0.001,0.971,50158,3600,9930,1159,12371,220000.0,130.1089032059165,109.98923638466948,86.77826989758286,3224
Real In-N-Out,32.8196444,-117.1486589,San Diego,0.5811,6.669,1.749,3.545,119167,5074,106997,2666,109405,132500.0,354.39520333155207,99.0487548334686,12.072170441392531,5172
Real In-N-Out,34.5793453,-118.1280496,Palmdale,0.5287,14.364,2.665,2.824,41047,6169,1136,2071,5234,84000.0,681.6861619238124,35.50268577727365,446.46798329349616,5882
Real In-N-Out,33.9870186,-118.2248363,Huntington Park,0.4417,13.156,0.588,1.881,41724,3908,2093,1350,4651,286000.0,5380.364891800345,16.514404315907743,5027.679250061799,4129
Real In-N-Out,33.8028518,-118.3284786,Torrance,0.5225,4.857,0.387,3.661,111250,4935,22118,2236,24817,54000.0,1526.9543916288774,28.633475923187873,4490.578781333756,4639
Real In-N-Out,34.2684187,-119.2728981,Ventura,0.5541,20.997,0.856,1.319,97939,4816,1592,1967,4441,119000.0,601.5885916890587,76.01184821248766,65.7986629410893,5209
Real In-N-Out,33.8602382,-117.9239346,Fullerton,0.5421,4.484,0.266,1.247,84681,6056,17856,2594,21318,205100.0,841.5813319015061,15.594778923973882,793.5903586922515,6032
Real In-N-Out,34.2830782,-118.6909268,Simi Valley,0.5124,15.563,1.213,2.792,188972,4574,320,2109,2785,118000.0,193.96569145265377,43.89863093853317,71.60411423033118,4242
Real In-N-Out,36.808492,-119.8831928,Fresno,0.5206,184.864,1.016,1.836,77778,3746,1321,1399,3668,85000.0,392.47980481171754,104.28792731272809,265.10625424952167,4096
Real In-N-Out,36.7961312,-119.7899153,Fresno,0.5287,8.418,1.806,3.413,70837,4794,2889,1748,5935,146000.0,604.4463246682185,108.69207007009412,470.14600417200586,4399
Real In-N-Out,34.1058926,-117.5302475,Rancho Cucamonga,0.5599,7.312,0.448,0.786,69000,6092,5726,2016,9802,204000.0,195.20293400997804,24.67547045220654,104.5571983235556,5848
Real In-N-Out,34.1520999,-118.4483336,Sherman Oaks,0.5371,6.729,0.753,2.254,78795,4015,4067,2489,5593,279000.0,629.6023567555288,28.25068799368109,543.5694040711198,3960
Real In-N-Out,32.9817026,-117.0775705,San Diego,0.5238,8.238,0.084,0.215,114490,4452,10125,2052,12525,260000.0,1030.1766419272335,91.52860555389796,759.1430602802915,4534
Real In-N-Out,33.1250887,-117.324658,Carlsbad,0.5704,7.574,0.305,1.378,126141,4806,4731,1677,7860,210000.0,466.36641133015047,75.6475217457188,55.479627785139336,4654
Real In-N-Out,37.6997987,-121.0676026,Modesto,0.561,144.259,1.604,4.042,75898,4726,3707,1890,6543,137000.0,403.93193560625224,14.813982986268517,289.82858254500064,4586
Real In-N-Out,37.2983896,-120.4819639,Merced,0.569,68.274,0.088,0.479,36550,3122,4799,1112,6809,47500.0,254.2027869941249,57.168271436023915,261.4467191493561,2911
Real In-N-Out,33.8921015,-118.3617896,Redondo Beach,0.5704,4.701,0.952,3.925,159438,6035,11650,2477,15208,281000.0,185.29627770414191,26.49563352819274,33.445002517112755,5899
Real In-N-Out,36.7048132,-119.7702515,Fresno,0.569,10.304,0.1,1.672,56442,2037,12654,793,13898,128000.0,455.3014671746184,113.7395678087665,95.1400342974614,1982
Real In-N-Out,33.5649572,-117.7073872,Laguna Niguel,0.4837,3.802,1.699,1.86,83566,5302,715,1977,4040,33800.0,1115.1301553214105,38.67729177805983,801.7625248194263,5142
Real In-N-Out,35.9861533,-119.9592481,Kettleman City,0.499,81.684,31.298,40.444,47271,4373,2822,1067,6128,7700.0,278.114417530276,146.62960458843898,313.8724828258017,4221
Real In-N-Out,37.7618715,-121.4338024,Tracy,0.5062,32.936,0.063,0.72,58765,3170,798,1130,2838,130000.0,2105.508995318922,9.071002076014969,200.37538248832416,3055
Real In-N-Out,33.6816156,-117.6694569,Foothill Ranch,0.5661,12.37,0.104,2.742,155650,11632,15258,5278,21612,42800.0,467.5671340970566,32.42132035944772,358.6513913377039,11631
Real In-N-Out,36.6799421,-121.640894,Salinas,0.5715,121.694,1.426,2.837,58306,4812,5381,1554,8639,74000.0,331.4312056367183,81.40465396498358,39.27116976814517,4974
Real In-N-Out,37.9847167,-121.3455875,Stockton,0.5541,25.961,2.068,3.683,113452,3019,2503,1211,4311,111000.0,235.6763132375631,11.465264076773783,155.49818491960136,3112
Real In-N-Out,34.0982296,-118.3417145,West Hollywood,0.5417,9.335,0.149,0.278,76037,2473,2230,1396,3307,40500.0,1012.7257643071548,21.791255202396965,1734.1643548081613,2657
Real In-N-Out,38.3664355,-121.9610442,Vacaville,0.561,68.526,0.516,0.621,76812,5509,4219,1745,7983,159000.0,446.8834106204569,52.29686167044161,124.43600220609844,5330
Real In-N-Out,33.8826378,-118.0246239,La Mirada,0.5235,3.943,3.033,3.332,111250,5526,11176,2176,14526,160000.0,513.3938081856924,14.37236119063275,211.37469741052251,5367
Real In-N-Out,36.3133921,-119.3142528,Visalia,0.5137,59.626,2.689,30.538,71435,4829,836,1870,3795,28500.0,98.62197787797732,150.71310981351027,1868.717937382086,4690
Real In-N-Out,34.4236823,-118.4231668,Santa Clarita,0.4573,14.039,8.395,9.856,166591,2275,466,1080,1661,113000.0,205.78999639269813,35.294912621068626,150.74841554526944,2219
Real In-N-Out,34.4428948,-119.7907331,Goleta,0.5316,51.342,6.291,26.451,83219,6098,3128,2166,7060,116000.0,163.08484447773318,107.30848492219344,116.51492082184076,5674
Real In-N-Out,38.9013432,-121.0748001,Auburn,0.561,97.28,0.742,3.549,49358,4382,2810,2071,5121,7800.0,147.92308351919812,75.20725910821331,93.25868739825007,4442
Real In-N-Out,34.1849762,-118.3160926,Burbank,0.5561,6.113,0.455,2.144,20714,2286,2159,1139,3306,202000.0,191.49076451019897,21.457848409309847,65.84853916014488,2366
Real In-N-Out,34.135079,-118.3606104,Los Angeles,0.5704,4.451,0.377,1.445,142717,3485,40495,2274,41706,231000.0,420.0557914755853,23.1152067780537,33.60079771688108,3438
Real In-N-Out,33.9360892,-118.1242637,Downey,0.5383,5.478,0.278,0.643,81578,4629,4142,1870,6901,284000.0,2691.6162315689007,13.842377438808068,2584.5754638809235,4868
Real In-N-Out,38.3612473,-122.7142375,Rohnert Park,0.561,65.67,0.511,1.101,75781,5247,7116,2381,9982,111000.0,530.3542211499932,85.88934212749105,137.43238652771672,5403
Real In-N-Out,37.4262921,-121.9224308,Milpitas,0.569,56.971,0.111,1.621,107438,2325,44367,826,45866,58000.0,301.09151450568675,44.288622383102584,255.3847338639602,1920
Real In-N-Out,37.4262921,-121.9224308,Milpitas,0.569,56.971,0.111,1.621,107438,2325,44367,826,45866,58000.0,301.09151450568675,44.288622383102584,255.3847338639602,1920
Real In-N-Out,38.4241094,-121.3914858,Elk Grove,0.5573,49.023,0.827,1.548,124506,5940,1490,2482,4948,135000.0,432.0237648980892,41.74578252769288,223.36406584439845,5747
Real In-N-Out,33.9537073,-118.3967844,Los Angeles,0.4814,3.319,1.186,1.559,106563,2325,4257,1402,5180,77000.0,263.2602641466485,26.512137823422226,2840.0439412257656,2220
Real In-N-Out,37.779131,-121.9770229,San Ramon,0.5811,39.528,0.53,0.652,163667,5493,5041,2810,7724,149000.0,342.0895906167035,37.722671589042974,63.16982832953593,5779
Real In-N-Out,34.0630975,-118.448044,Los Angeles,0.5177,6.414,0.032,0.217,0,1415,3986,442,4959,308000.0,1089.846726118229,27.89210211391359,888.5447427259032,1544
Real In-N-Out,37.9890711,-122.3107655,Pinole,0.533,37.454,0.34,0.708,100399,7573,2198,3252,6519,176000.0,779.0244273122531,56.857116650921135,156.683477139947,7793
Real In-N-Out,34.1060339,-118.1343776,Alhambra,0.4925,5.46,0.845,1.243,86319,5650,784,2532,3902,63000.0,2501.45051564996,10.02926294405864,2499.2824079771403,5517
Real In-N-Out,38.6146071,-121.2689742,Rancho Cordova,0.531,23.713,0.1,0.303,65625,5067,1208,2131,4144,97000.0,797.1919333993659,54.52836725553677,377.50268614079624,4796
Real In-N-Out,32.7519523,-117.2053595,San Diego,0.5382,6.462,0.713,4.418,69745,3332,14177,1365,16144,97000.0,958.823851073388,101.75937099958794,488.7384235421465,3588
Real In-N-Out,37.7002359,-121.9076197,Pleasanton,0.5704,10.687,1.535,1.685,202238,5062,5922,2364,8620,237000.0,208.68641965881457,34.901072690251674,60.56700176669827,4897
Real In-N-Out,38.257301,-122.0646902,Fairfield,0.5315,15.134,0.07,0.219,126369,5719,3712,2695,6736,194000.0,270.9043140672357,51.71711927830491,87.5834258962866,6178
Real In-N-Out,38.2811372,-122.2762518,Napa,0.5283,18.659,0.77,11.624,93400,6156,2175,2628,5703,22000.0,250.2597182132787,62.27958732148032,2569.4398803484737,6120
Real In-N-Out,38.2811372,-122.2762518,Napa,0.5283,18.659,0.77,11.624,93400,6156,2175,2628,5703,22000.0,250.2597182132787,62.27958732148032,2569.4398803484737,6120
Real In-N-Out,38.2811372,-122.2762518,Napa,0.5283,18.659,0.77,11.624,93400,6156,2175,2628,5703,19600.0,250.2597182132787,62.27958732148032,2569.4398803484737,6120
