latitude,longitude,score
33.63,-117.9,0.0
33.63,-117.89538461538461,0.0
33.63,-117.89076923076924,0.0
33.63,-117.88615384615385,0.0
33.63,-117.88153846153847,0.0
33.63,-117.87692307692308,0.0
33.63,-117.8723076923077,0.0
33.63,-117.86769230769231,0.0
33.63,-117.86307692307693,0.0
33.63,-117.85846153846154,0.0
33.63,-117.85384615384616,0.0
33.63,-117.84923076923077,0.0
33.63,-117.8446153846154,0.0
33.63,-117.84,0.0
33.63,-117.83538461538461,0.0
33.63,-117.83076923076923,0.0
33.63,-117.82615384615384,0.0
33.63,-117.82153846153847,0.0
33.63,-117.81692307692308,0.0
33.63,-117.8123076923077,0.0
33.63,-117.8076923076923,0.0
33.63,-117.80307692307693,0.0
33.63,-117.79846153846154,0.0
33.63,-117.79384615384616,0.0
33.63,-117.78923076923077,0.0
33.63,-117.78461538461539,0.0
33.63,-117.78,0.0
33.63,-117.77538461538461,0.0
33.63,-117.77076923076923,0.0
33.63,-117.76615384615384,0.0
33.63,-117.76153846153846,0.0
33.63,-117.75692307692307,0.0
33.63,-117.7523076923077,0.0
33.63,-117.7476923076923,0.0
33.63,-117.74307692307693,0.0
33.63,-117.73846153846154,0.0
33.63,-117.73384615384616,0.0
33.63,-117.72923076923077,0.0
33.63,-117.72461538461539,0.0
33.63,-117.72,0.0
33.633589743589745,-117.9,0.0
33.633589743589745,-117.89538461538461,0.0
33.633589743589745,-117.89076923076924,0.0
33.633589743589745,-117.88615384615385,0.0
33.633589743589745,-117.88153846153847,0.0
33.633589743589745,-117.87692307692308,0.0
33.633589743589745,-117.8723076923077,0.0
33.633589743589745,-117.86769230769231,0.0
33.633589743589745,-117.86307692307693,0.0
33.633589743589745,-117.85846153846154,0.0
33.633589743589745,-117.85384615384616,0.0
33.633589743589745,-117.84923076923077,0.0
33.633589743589745,-117.8446153846154,0.0
33.633589743589745,-117.84,0.0
33.633589743589745,-117.83538461538461,0.0
33.633589743589745,-117.83076923076923,0.0
33.633589743589745,-117.82615384615384,0.0
33.633589743589745,-117.82153846153847,0.0
33.633589743589745,-117.81692307692308,0.0
33.633589743589745,-117.8123076923077,0.0
33.633589743589745,-117.8076923076923,0.0
33.633589743589745,-117.80307692307693,0.0
33.633589743589745,-117.79846153846154,0.0
33.633589743589745,-117.79384615384616,0.0
33.633589743589745,-117.78923076923077,0.0
33.633589743589745,-117.78461538461539,0.0
33.633589743589745,-117.78,0.0
33.633589743589745,-117.77538461538461,0.0
33.633589743589745,-117.77076923076923,0.0
33.633589743589745,-117.76615384615384,0.0
33.633589743589745,-117.76153846153846,0.0
33.633589743589745,-117.75692307692307,0.0
33.633589743589745,-117.7523076923077,0.0
33.633589743589745,-117.7476923076923,0.0
33.633589743589745,-117.74307692307693,0.0
33.633589743589745,-117.73846153846154,0.0
33.633589743589745,-117.73384615384616,0.0
33.633589743589745,-117.72923076923077,0.0
33.633589743589745,-117.72461538461539,0.0
33.633589743589745,-117.72,0.0
33.63717948717949,-117.9,0.0
33.63717948717949,-117.89538461538461,0.0
33.63717948717949,-117.89076923076924,0.0
33.63717948717949,-117.88615384615385,0.0
33.63717948717949,-117.88153846153847,0.0
33.63717948717949,-117.87692307692308,0.0
33.63717948717949,-117.8723076923077,0.0
33.63717948717949,-117.86769230769231,0.0
33.63717948717949,-117.86307692307693,0.0
33.63717948717949,-117.85846153846154,0.0
33.63717948717949,-117.85384615384616,0.0
33.63717948717949,-117.84923076923077,0.0
33.63717948717949,-117.8446153846154,0.0
33.63717948717949,-117.84,0.0
33.63717948717949,-117.83538461538461,0.0
33.63717948717949,-117.83076923076923,0.0
33.63717948717949,-117.82615384615384,0.0
33.63717948717949,-117.82153846153847,0.0
33.63717948717949,-117.81692307692308,0.0
33.63717948717949,-117.8123076923077,0.0
33.63717948717949,-117.8076923076923,0.0
33.63717948717949,-117.80307692307693,0.0
33.63717948717949,-117.79846153846154,0.0
33.63717948717949,-117.79384615384616,0.0
33.63717948717949,-117.78923076923077,0.0
33.63717948717949,-117.78461538461539,0.0
33.63717948717949,-117.78,0.0
33.63717948717949,-117.77538461538461,0.0
33.63717948717949,-117.77076923076923,0.0
33.63717948717949,-117.76615384615384,0.0
33.63717948717949,-117.76153846153846,0.0
33.63717948717949,-117.75692307692307,0.0
33.63717948717949,-117.7523076923077,0.0
33.63717948717949,-117.7476923076923,0.0
33.63717948717949,-117.74307692307693,0.0
33.63717948717949,-117.73846153846154,0.0
33.63717948717949,-117.73384615384616,0.0
33.63717948717949,-117.72923076923077,0.0
